name,count,files,locations
bpf_ktime_get_ns,2,bpf/include/bpf_ktime.h,"bpf/include/bpf_ktime.h:8,bpf/include/bpf_ktime.h:10"
bpf_probe_write_user,2,"bpf/process/bpf_generic_usdt.c,bpf/process/generic_calls.h","bpf/process/bpf_generic_usdt.c:131,bpf/process/generic_calls.h:866"
bpf_get_stackid,2,bpf/process/generic_calls.h,"bpf/process/generic_calls.h:953,bpf/process/generic_calls.h:960"
bpf_ima_inode_hash,2,"bpf/process/bpf_generic_lsm_ima_bprm.c,bpf/process/bpf_generic_lsm_ima_file.c","bpf/process/bpf_generic_lsm_ima_bprm.c:30,bpf/process/bpf_generic_lsm_ima_file.c:30"
bpf_loop,2,"bpf/lib/bpf_d_path.h,bpf/process/generic_calls.h","bpf/lib/bpf_d_path.h:236,bpf/process/generic_calls.h:430"
bpf_send_signal,2,"bpf/process/bpf_enforcer.c,bpf/process/types/basic.h","bpf/process/bpf_enforcer.c:16,bpf/process/types/basic.h:2251"
bpf_get_current_cgroup_id,2,bpf/lib/bpf_cgroup.h,"bpf/lib/bpf_cgroup.h:341,bpf/lib/bpf_cgroup.h:376"
bpf_ima_file_hash,2,"bpf/process/bpf_generic_lsm_ima_bprm.c,bpf/process/bpf_generic_lsm_ima_file.c","bpf/process/bpf_generic_lsm_ima_bprm.c:28,bpf/process/bpf_generic_lsm_ima_file.c:28"
bpf_snprintf,2,"contrib/tester-progs/exit-tester.c,contrib/tester-progs/uretprobe.c","contrib/tester-progs/exit-tester.c:26,contrib/tester-progs/uretprobe.c:8"
bpf_override_return,2,"bpf/process/bpf_enforcer.c,bpf/process/bpf_generic_kprobe.c","bpf/process/bpf_enforcer.c:39,bpf/process/bpf_generic_kprobe.c:153"
bpf_get_smp_processor_id,1,bpf/test/bpf_lseek.c,bpf/test/bpf_lseek.c:58
bpf_get_attach_cookie,1,bpf/process/types/basic.h,bpf/process/types/basic.h:267
bpf_seq_write,1,bpf/process/bpf_prog_iter.c,bpf/process/bpf_prog_iter.c:17
bpf_ktime_get_boot_ns,1,bpf/include/bpf_ktime.h,bpf/include/bpf_ktime.h:8
bpf_trace_printk,1,bpf/libbpf/bpf_tracing.h,bpf/libbpf/bpf_tracing.h:760
bpf_strtol,1,contrib/tester-progs/forks.c,contrib/tester-progs/forks.c:20
bpf_strtoul,1,contrib/tester-progs/regs-override.c,contrib/tester-progs/regs-override.c:45
bpf_trace_vprintk,1,bpf/libbpf/bpf_tracing.h,bpf/libbpf/bpf_tracing.h:778
