name,count,files,locations
bpf_sk_storage_get,3,katran/tpr/bpf/tcp_pkt_router_active_hdlr.h,"katran/tpr/bpf/tcp_pkt_router_active_hdlr.h:59,katran/tpr/bpf/tcp_pkt_router_active_hdlr.h:99,katran/tpr/bpf/tcp_pkt_router_active_hdlr.h:156"
bpf_store_hdr_opt,2,"katran/tpr/bpf/tcp_pkt_router_active_hdlr.h,katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h","katran/tpr/bpf/tcp_pkt_router_passive_hdlr.h:106,katran/tpr/bpf/tcp_pkt_router_active_hdlr.h:111"
bpf_probe_read,2,katran/lib/linux_includes/bpf_helpers.h,"katran/lib/linux_includes/bpf_helpers.h:565,katran/lib/linux_includes/bpf_helpers.h:568"
bpf_trace_printk,2,"katran/lib/bpf/balancer_helpers.h,katran/lib/linux_includes/bpf_helpers.h","katran/lib/linux_includes/bpf_helpers.h:19,katran/lib/bpf/balancer_helpers.h:40"
bpf_tail_call,2,"katran/lib/bpf/balancer_helpers.h,katran/lib/bpf/xdp_root.c","katran/lib/bpf/xdp_root.c:34,katran/lib/bpf/balancer_helpers.h:78"
bpf_xdp_adjust_tail,1,katran/lib/bpf/handle_icmp.h,katran/lib/bpf/handle_icmp.h:218
bpf_get_prandom_u32,1,katran/lib/bpf/healthchecking_helpers.h,katran/lib/bpf/healthchecking_helpers.h:152
bpf_reserve_hdr_opt,1,katran/tpr/bpf/tcp_pkt_router_common.h,katran/tpr/bpf/tcp_pkt_router_common.h:128
bpf_xdp_adjust_head,1,katran/lib/bpf/balancer_helpers.h,katran/lib/bpf/balancer_helpers.h:117
bpf_perf_event_output,1,katran/lib/bpf/balancer_helpers.h,katran/lib/bpf/balancer_helpers.h:70
bpf_skb_change_proto,1,katran/decap/tc_bpf/tc_decap_kern_helpers.h,katran/decap/tc_bpf/tc_decap_kern_helpers.h:134
bpf_skb_set_tunnel_key,1,katran/lib/bpf/healthchecking_ipip.c,katran/lib/bpf/healthchecking_ipip.c:155
