connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7430.526000,0.160400,2.641082,1.613538
2,5,16556.836000,0.150600,4.447616,2.580695
4,5,43037.980000,0.130800,11.735546,6.630277
8,5,103945.624000,0.116600,32.948012,17.084059
16,5,167459.786000,0.153200,46.855238,25.791747
32,5,221165.812000,0.225200,54.985006,29.602968
64,5,245984.264000,0.399000,55.272656,30.853618
128,5,265373.128000,0.741600,63.021851,32.309092
256,5,272833.146000,1.200000,66.442900,33.591245
