path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,5000,4998.966667,0.047140,0.233333,0.047140
direct-nginx,10000,10010.000000,0.000000,0.300000,0.000000
direct-nginx,20000,19972.033333,0.094281,0.300000,0.000000
direct-nginx,40000,39933.633333,10.372185,0.366667,0.047140
direct-nginx,80000,37539.133333,22991.907520,6.866667,0.124722
direct-nginx,120000,37535.133333,23891.529930,7.066667,0.205480
direct-nginx,160000,37037.966667,24140.001777,7.000000,0.141421
direct-nginx,200000,36516.033333,23984.728528,7.533333,0.524934
vanilla-katran,5000,4999.000000,0.081650,0.266667,0.047140
vanilla-katran,10000,10009.933333,0.094281,0.300000,0.000000
vanilla-katran,20000,19972.033333,0.047141,0.300000,0.000000
vanilla-katran,40000,39906.133333,26.644491,0.366667,0.047140
vanilla-katran,80000,37237.400000,20329.756210,6.433333,0.124722
vanilla-katran,120000,52478.666667,554.434471,6.566667,0.309121
vanilla-katran,160000,38680.800000,21023.607097,8.800000,2.006656
vanilla-katran,200000,36526.533333,22713.624411,7.000000,0.244949
