path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,10000,9998.000000,0.000000,0.100000,0.000000
direct-nginx,20000,19995.800000,0.000000,0.100000,0.000000
direct-nginx,40000,40038.800000,0.000000,0.275000,0.000000
direct-nginx,80000,41874.400000,0.000000,5.639168,0.000000
direct-nginx,120000,26986.300000,0.000000,6.487102,0.000000
direct-nginx,160000,30634.300000,0.000000,7.112477,0.000000
vanilla-katran,10000,9998.100000,0.000000,0.100000,0.000000
vanilla-katran,20000,19995.800000,0.000000,0.175000,0.000000
vanilla-katran,40000,40039.200000,0.000000,0.250000,0.000000
vanilla-katran,80000,36748.900000,0.000000,9.619404,0.000000
vanilla-katran,120000,24757.000000,0.000000,8.833221,0.000000
vanilla-katran,160000,39950.200000,0.000000,4.997252,0.000000
