connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7167.718000,0.157200,2.197273,1.912262
2,5,15275.424000,0.154800,4.426621,3.849250
4,5,42451.548000,0.135600,11.495046,6.922288
8,5,104632.252000,0.116400,32.705895,16.570970
16,5,168413.878000,0.152200,46.641216,25.568878
32,5,221795.840000,0.226800,54.772941,30.168795
64,5,247384.476000,0.392000,55.966827,30.555170
128,5,265485.102000,0.743800,61.449260,31.916170
256,5,274525.668000,1.210000,66.274608,33.857344
