path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,5000,4999.100000,0.000000,0.240000,0.048990
direct-nginx,10000,10010.180000,0.040000,0.300000,0.000000
direct-nginx,20000,19972.620000,0.074832,0.300000,0.000000
direct-nginx,40000,39940.340000,3.104577,0.300000,0.000000
direct-nginx,80000,23054.340000,3934.920311,6.780000,0.248193
direct-nginx,120000,24287.040000,596.486750,6.920000,0.376298
direct-nginx,160000,23574.940000,470.523830,7.880000,0.193907
direct-nginx,200000,23862.280000,461.695633,8.420000,0.365513
vanilla-katran,5000,4999.100000,0.000000,0.260000,0.048990
vanilla-katran,10000,10010.180000,0.040000,0.300000,0.000000
vanilla-katran,20000,19972.600000,0.000000,0.300000,0.000000
vanilla-katran,40000,39942.200000,3.592771,0.300000,0.000000
vanilla-katran,80000,23142.980000,3352.858800,6.020000,0.040000
vanilla-katran,120000,23978.080000,301.420745,6.300000,0.389872
vanilla-katran,160000,23517.160000,224.690263,6.240000,0.523832
vanilla-katran,200000,22764.760000,780.298216,7.860000,1.960204
