50000 50000 0.00
100000 100000 0.00
150000 150015 0.00
200000 199999 0.58
250000 250000 0.00
300000 300030 0.58
350000 350017 0.00
400000 399999 0.00
450000 450044 0.00
500000 499999 0.00
550000 550052 960.71
600000 558830 1937.96
650000 560018 12137.96
700000 558678 2357.05
750000 563642 169.14
800000 559473 614.34
850000 559735 1183.44
900000 551339 15755.73
950000 557657 1738.18
1000000 559942 3919.73
