50000 50000 1
50000 50000 2
50000 50000 3
100000 100000 1
100000 100000 2
100000 100000 3
150000 150015 1
150000 150015 2
150000 150015 3
200000 199999 3
200000 200000 1
200000 200000 2
250000 249999 1
250000 250000 2
250000 250000 3
300000 300030 1
300000 300030 2
300000 300030 3
350000 350017 1
350000 350017 2
350000 350017 3
400000 399999 2
400000 399999 3
400000 400000 1
450000 450044 1
450000 450044 2
450000 450044 3
500000 499999 1
500000 499999 2
500000 499999 3
550000 550052 1
550000 550052 2
550000 550053 3
600000 580913 1
600000 582601 2
600000 583567 3
650000 581670 2
650000 582280 1
650000 582327 3
700000 580918 2
700000 583102 1
700000 584046 3
750000 582432 3
750000 582864 2
750000 585499 1
800000 581517 3
800000 583286 2
800000 585471 1
850000 579593 3
850000 580084 2
850000 581330 1
900000 579447 1
900000 582627 3
900000 591666 2
950000 579522 1
950000 580783 3
950000 582681 2
1000000 579134 3
1000000 582947 2
1000000 583629 1
