50000 50000 1
50000 50000 2
50000 50000 3
100000 100000 1
100000 100000 2
100000 100000 3
150000 150015 1
150000 150015 2
150000 150015 3
200000 199999 1
200000 199999 2
200000 200000 3
250000 250000 1
250000 250000 2
250000 250000 3
300000 300029 3
300000 300030 1
300000 300030 2
350000 350017 1
350000 350017 2
350000 350017 3
400000 399999 1
400000 399999 2
400000 399999 3
450000 450044 1
450000 450044 2
450000 450044 3
500000 499999 1
500000 499999 2
500000 499999 3
550000 548388 1
550000 550052 2
550000 550052 3
600000 558793 3
600000 558830 1
600000 562168 2
650000 543987 2
650000 560018 3
650000 567790 1
700000 557079 2
700000 558678 3
700000 561719 1
750000 563376 3
750000 563642 1
750000 563690 2
800000 558697 1
800000 559473 2
800000 559910 3
850000 558309 2
850000 559735 1
850000 560658 3
900000 527797 1
900000 551339 2
900000 557708 3
950000 557626 3
950000 557657 2
950000 560652 1
1000000 559168 1
1000000 559942 2
1000000 566311 3
