path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,10000,10002.000000,0.000000,0.200000,0.000000
direct-nginx,20000,20003.500000,0.000000,0.200000,0.000000
direct-nginx,40000,39942.700000,0.000000,0.533334,0.000000
direct-nginx,80000,56844.100000,0.000000,9.726389,0.000000
direct-nginx,120000,33662.100000,0.000000,5.136765,0.000000
direct-nginx,160000,56227.000000,0.000000,10.622134,0.000000
vanilla-katran,10000,10001.900000,0.000000,0.200000,0.000000
vanilla-katran,20000,20002.800000,0.000000,0.233333,0.000000
vanilla-katran,40000,39942.600000,0.000000,0.466667,0.000000
vanilla-katran,80000,56319.000000,0.000000,9.497245,0.000000
vanilla-katran,120000,56722.400000,0.000000,9.380552,0.000000
vanilla-katran,160000,55651.700000,0.000000,10.151998,0.000000
