name,count,files,locations
bpf_xdp_adjust_head,6,"bpf/include/bpf/ctx/xdp.h,bpf/lib/icmp.h,bpf/lib/lb.h,bpf/tests/ipv6_test.c","bpf/tests/ipv6_test.c:58,bpf/tests/ipv6_test.c:157,bpf/lib/icmp.h:113,bpf/lib/lb.h:2229,bpf/include/bpf/ctx/xdp.h:254,bpf/include/bpf/ctx/xdp.h:285"
bpf_get_netns_cookie,6,"bpf/bpf_sock.c,bpf/tests/host_only_socket_lb_test.c,bpf/tests/skip_lb_xlate_socket_lb.c","bpf/bpf_sock.c:30,bpf/bpf_sock.c:86,bpf/bpf_sock.c:319,bpf/bpf_sock.c:1022,bpf/tests/host_only_socket_lb_test.c:31,bpf/tests/skip_lb_xlate_socket_lb.c:24"
bpf_fib_lookup,5,"bpf/bpf_probes.c,bpf/lib/fib.h,bpf/lib/nodeport.h","bpf/bpf_probes.c:23,bpf/lib/nodeport.h:215,bpf/lib/fib.h:176,bpf/lib/fib.h:216,bpf/lib/fib.h:278"
bpf_seq_write,4,bpf/bpf_sock_term.c,"bpf/bpf_sock_term.c:83,bpf/bpf_sock_term.c:103,bpf/bpf_sock_term.c:123,bpf/bpf_sock_term.c:143"
bpf_xdp_adjust_tail,3,"bpf/include/bpf/ctx/xdp.h,bpf/tests/xdp_nodeport_lb4_test.c","bpf/tests/xdp_nodeport_lb4_test.c:45,bpf/tests/xdp_nodeport_lb4_test.c:102,bpf/include/bpf/ctx/xdp.h:269"
bpf_l3_csum_replace,3,"bpf/include/bpf/ctx/xdp.h,bpf/lib/ipv4.h","bpf/lib/ipv4.h:42,bpf/lib/ipv4.h:49,bpf/include/bpf/ctx/xdp.h:153"
bpf_sk_release,2,bpf/lib/proxy.h,"bpf/lib/proxy.h:38,bpf/lib/proxy.h:66"
bpf_for_each_map_elem,2,"bpf/lib/mcast.h,bpf/tests/lib/clear.h","bpf/lib/mcast.h:425,bpf/tests/lib/clear.h:14"
bpf_jiffies64,2,"bpf/include/bpf/helpers.h,bpf/tests/conntrack_test.c","bpf/tests/conntrack_test.c:16,bpf/include/bpf/helpers.h:46"
bpf_trace_printk,2,"bpf/lib/dbg.h,bpf/lib/hexdump.h","bpf/lib/hexdump.h:22,bpf/lib/dbg.h:190"
bpf_sk_assign,2,bpf/lib/proxy.h,"bpf/lib/proxy.h:31,bpf/lib/proxy.h:60"
bpf_loop,2,bpf/tests/bpf_nat_tests.c,"bpf/tests/bpf_nat_tests.c:1400,bpf/tests/bpf_nat_tests.c:1531"
bpf_get_current_cgroup_id,2,bpf/lib/trace_sock.h,"bpf/lib/trace_sock.h:159,bpf/lib/trace_sock.h:204"
bpf_redirect,2,"bpf/include/bpf/ctx/skb.h,bpf/include/bpf/ctx/xdp.h","bpf/include/bpf/ctx/xdp.h:348,bpf/include/bpf/ctx/skb.h:91"
bpf_get_hash_recalc,2,"bpf/include/bpf/ctx/xdp.h,bpf/lib/srv6.h","bpf/lib/srv6.h:182,bpf/include/bpf/ctx/xdp.h:115"
bpf_sk_lookup_udp,1,bpf/lib/proxy.h,bpf/lib/proxy.h:55
bpf_xdp_store_bytes,1,bpf/include/bpf/ctx/xdp.h,bpf/include/bpf/ctx/xdp.h:67
bpf_clone_redirect,1,bpf/lib/mcast.h,bpf/lib/mcast.h:389
bpf_xdp_load_bytes,1,bpf/include/bpf/ctx/xdp.h,bpf/include/bpf/ctx/xdp.h:37
bpf_get_cgroup_classid,1,bpf/bpf_sock.c,bpf/bpf_sock.c:77
bpf_skb_change_tail,1,bpf/include/bpf/ctx/skb.h,bpf/include/bpf/ctx/skb.h:103
bpf_redirect_peer,1,bpf/include/bpf/ctx/skb.h,bpf/include/bpf/ctx/skb.h:97
bpf_map_lookup_percpu_elem,1,bpf/tests/common.h,bpf/tests/common.h:274
bpf_skb_change_head,1,bpf/lib/overloadable_skb.h,bpf/lib/overloadable_skb.h:228
bpf_skc_lookup_tcp,1,bpf/lib/proxy.h,bpf/lib/proxy.h:21
bpf_xdp_get_buff_len,1,bpf/include/bpf/ctx/xdp.h,bpf/include/bpf/ctx/xdp.h:364
bpf_set_retval,1,bpf/include/bpf/helpers.h,bpf/include/bpf/helpers.h:109
