connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7879.918000,0.155800,2.501461,1.614426
2,5,16313.554000,0.150200,4.694100,2.766412
4,5,45287.788000,0.128200,11.723986,6.693000
8,5,107399.806000,0.113400,30.609678,16.674678
16,5,170078.694000,0.148000,46.844772,26.410495
32,5,224100.412000,0.220200,54.914469,30.068011
64,5,251348.062000,0.377000,56.011526,31.483098
128,5,272146.930000,0.719400,62.874077,32.955515
256,5,279077.774000,1.150000,66.359776,34.341268
