path,target_rate,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,10000,9705.690000,0.000000,0.000000,0.000000
direct-nginx,40000,39685.770000,0.000000,0.000000,0.000000
direct-nginx,80000,78520.360000,0.000000,0.000000,0.000000
direct-nginx,120000,116513.030000,0.000000,0.000000,0.000000
direct-nginx,160000,155346.850000,0.000000,0.000000,0.000000
direct-nginx,200000,194188.720000,0.000000,0.000000,0.000000
direct-nginx,240000,235550.370000,0.000000,0.000000,0.000000
direct-nginx,280000,272562.380000,0.000000,0.000000,0.000000
vanilla-katran,10000,9821.640000,0.000000,0.000000,0.000000
vanilla-katran,40000,39265.450000,0.000000,0.000000,0.000000
vanilla-katran,80000,77677.110000,0.000000,0.000000,0.000000
vanilla-katran,120000,119044.270000,0.000000,0.000000,0.000000
vanilla-katran,160000,158731.000000,0.000000,0.000000,0.000000
vanilla-katran,200000,198404.770000,0.000000,0.000000,0.000000
vanilla-katran,240000,235550.970000,0.000000,0.000000,0.000000
vanilla-katran,280000,267227.160000,0.000000,0.000000,0.000000
