path,connections,rps_mean,rps_std,p99_ms_mean,p99_ms_std
direct-nginx,1,7879.918000,185.413056,0.155800,0.002315
direct-nginx,2,16313.554000,542.355726,0.150200,0.001166
direct-nginx,4,45287.788000,1292.992540,0.128200,0.006969
direct-nginx,8,107399.806000,1149.480804,0.113400,0.000800
direct-nginx,16,170078.694000,121.738765,0.148000,0.000632
direct-nginx,32,224100.412000,508.101445,0.220200,0.000748
direct-nginx,64,251348.062000,423.711182,0.377000,0.000632
direct-nginx,128,272146.930000,340.653263,0.719400,0.001497
direct-nginx,256,279077.774000,493.900393,1.150000,0.006325
vanilla-katran,1,7430.526000,306.577177,0.160400,0.006437
vanilla-katran,2,16556.836000,1323.572701,0.150600,0.002577
vanilla-katran,4,43037.980000,236.817497,0.130800,0.005269
vanilla-katran,8,103945.624000,159.611977,0.116600,0.000800
vanilla-katran,16,167459.786000,194.088826,0.153200,0.000400
vanilla-katran,32,221165.812000,237.158617,0.225200,0.000980
vanilla-katran,64,245984.264000,262.949306,0.399000,0.002000
vanilla-katran,128,265373.128000,206.785060,0.741600,0.001744
vanilla-katran,256,272833.146000,458.780011,1.200000,0.010954
