connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7188.836000,0.163200,2.782864,1.333292
2,5,15481.624000,0.156600,4.550519,2.811977
4,5,42265.138000,0.134000,11.348945,6.703903
8,5,104493.700000,0.116800,32.798034,17.199317
16,5,167996.622000,0.152800,47.140528,26.299360
32,5,222399.356000,0.224600,54.744825,29.872898
64,5,249242.428000,0.387800,55.530400,31.096409
128,5,268429.888000,0.728200,61.994585,32.308511
256,5,277671.660000,1.196000,66.586958,34.257235
