timestamp,connections,repeat,requests_per_sec,latency_avg_ms,latency_stdev_ms,p99_ms,non2xx_responses,socket_timeouts,vm1_cpu_util_pct,vm2_cpu_util_pct
2026-02-24T03:41:14Z,1,1,7137.94,0.139330,0.012660,0.164000,0,0,2.321648,1.293978
2026-02-24T03:42:29Z,1,2,7049.06,0.141120,0.010120,0.160000,0,0,3.152908,1.794645
2026-02-24T03:43:44Z,1,3,7189.99,0.138330,0.010370,0.171000,0,0,3.210624,0.974741
2026-02-24T03:45:00Z,1,4,6964.88,0.142840,0.009990,0.162000,0,0,2.398274,1.383483
2026-02-24T03:46:15Z,1,5,7602.31,0.130800,0.013190,0.159000,0,0,2.830865,1.219615
2026-02-24T03:47:30Z,2,1,14991.59,0.132570,0.014940,0.172000,0,0,4.982026,2.416468
2026-02-24T03:48:46Z,2,2,16640.78,0.119380,0.018730,0.150000,0,0,5.091356,2.908047
2026-02-24T03:50:01Z,2,3,15854.50,0.125380,0.019280,0.153000,0,0,4.830099,2.496895
2026-02-24T03:51:17Z,2,4,14418.72,0.137870,0.009690,0.156000,0,0,3.030043,3.849383
2026-02-24T03:52:32Z,2,5,15502.53,0.128200,0.013100,0.152000,0,0,4.819073,2.389093
2026-02-24T03:53:47Z,4,1,41663.67,0.095240,0.009670,0.137000,0,0,11.472160,6.669285
2026-02-24T03:55:03Z,4,2,41640.23,0.095290,0.009480,0.133000,0,0,10.712743,6.752454
2026-02-24T03:56:18Z,4,3,41628.33,0.095330,0.010200,0.134000,0,0,11.367161,6.479255
2026-02-24T03:57:34Z,4,4,42865.66,0.092550,0.009470,0.135000,0,0,11.242298,6.828396
2026-02-24T03:58:49Z,4,5,43527.80,0.091150,0.011370,0.131000,0,0,11.950365,6.790123
2026-02-24T04:00:04Z,8,1,104453.90,0.075280,0.013610,0.118000,0,0,32.847265,17.351495
2026-02-24T04:01:20Z,8,2,104531.22,0.075170,0.012590,0.116000,0,0,32.795295,17.357758
2026-02-24T04:02:35Z,8,3,104818.65,0.074970,0.012210,0.115000,0,0,32.597126,17.056085
2026-02-24T04:03:51Z,8,4,104159.79,0.075480,0.013210,0.119000,0,0,32.955451,17.137425
2026-02-24T04:05:06Z,8,5,104504.94,0.075200,0.012550,0.116000,0,0,32.795031,17.093824
2026-02-24T04:06:21Z,16,1,167337.06,0.093690,0.020660,0.153000,0,0,47.107980,26.457319
2026-02-24T04:07:37Z,16,2,168053.96,0.093320,0.020930,0.153000,0,0,47.163787,26.257158
2026-02-24T04:08:52Z,16,3,167998.29,0.093360,0.020700,0.153000,0,0,47.046238,26.101558
2026-02-24T04:10:07Z,16,4,168299.20,0.093170,0.021090,0.152000,0,0,47.269714,26.434518
2026-02-24T04:11:23Z,16,5,168294.60,0.093190,0.020640,0.153000,0,0,47.114922,26.246249
2026-02-24T04:12:38Z,32,1,222392.42,0.140980,0.030530,0.224000,0,0,54.701796,29.755345
2026-02-24T04:13:53Z,32,2,222702.45,0.140800,0.030950,0.224000,0,0,54.893725,29.902784
2026-02-24T04:15:09Z,32,3,222116.24,0.141150,0.030580,0.225000,0,0,54.611950,29.894951
2026-02-24T04:16:24Z,32,4,222437.65,0.141000,0.031650,0.224000,0,0,54.859465,29.753201
2026-02-24T04:17:39Z,32,5,222348.02,0.141410,0.041320,0.226000,0,0,54.657188,30.058211
2026-02-24T04:18:55Z,64,1,249025.82,0.252680,0.053060,0.389000,0,0,55.543985,31.300883
2026-02-24T04:20:10Z,64,2,249162.74,0.252350,0.051580,0.389000,0,0,55.497404,31.011148
2026-02-24T04:21:26Z,64,3,249459.10,0.251940,0.051610,0.388000,0,0,55.577789,31.023547
2026-02-24T04:22:41Z,64,4,249149.98,0.252390,0.051520,0.386000,0,0,55.354833,30.844085
2026-02-24T04:23:56Z,64,5,249414.50,0.252200,0.052340,0.387000,0,0,55.677991,31.302384
2026-02-24T04:25:11Z,128,1,268488.84,0.470310,0.087400,0.726000,0,0,62.119372,32.461203
2026-02-24T04:26:27Z,128,2,268125.56,0.471120,0.088930,0.729000,0,0,62.178149,32.451093
2026-02-24T04:27:42Z,128,3,268771.58,0.469790,0.085670,0.725000,0,0,61.880653,32.000686
2026-02-24T04:28:57Z,128,4,268530.30,0.469690,0.089180,0.729000,0,0,61.912795,32.241534
2026-02-24T04:30:12Z,128,5,268233.16,0.470100,0.091020,0.732000,0,0,61.881957,32.388041
2026-02-24T04:31:28Z,256,1,276850.37,0.910000,0.115460,1.180000,0,0,66.380175,34.021105
2026-02-24T04:32:43Z,256,2,276267.65,0.920000,0.121880,1.230000,0,0,66.365884,34.052758
2026-02-24T04:33:58Z,256,3,278346.14,0.910000,0.119550,1.200000,0,0,66.736003,34.246575
2026-02-24T04:35:13Z,256,4,278199.12,0.910000,0.119150,1.190000,0,0,66.732112,34.609121
2026-02-24T04:36:28Z,256,5,278695.02,0.910000,0.116740,1.180000,0,0,66.720616,34.356618
