connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7219.792000,0.187000,2.428998,2.494770
2,5,14903.528000,0.158200,4.672036,3.443105
4,5,45595.330000,0.127600,11.612279,6.910703
8,5,107348.850000,0.114200,31.276796,15.867027
16,5,170691.744000,0.147800,46.736862,25.774396
32,5,224270.572000,0.221000,54.443830,30.476089
64,5,251905.496000,0.378400,56.589738,31.305385
128,5,272732.578000,0.715800,61.915285,32.910025
256,5,280509.022000,1.150000,65.895645,34.484272
