timestamp,connections,repeat,requests_per_sec,latency_avg_ms,latency_stdev_ms,p99_ms,non2xx_responses,socket_timeouts,vm1_cpu_util_pct,vm2_cpu_util_pct
2026-02-23T20:21:24Z,1,1,7282.73,0.136560,0.011040,0.165000,0,0,2.510531,2.439228
2026-02-23T20:22:39Z,1,2,7308.80,0.136090,0.012080,0.163000,0,0,2.306717,2.369728
2026-02-23T20:23:54Z,1,3,7308.69,0.136100,0.010150,0.156000,0,0,2.471739,2.501040
2026-02-23T20:25:10Z,1,4,7249.13,0.137200,0.010770,0.161000,0,0,2.397231,2.488226
2026-02-23T20:26:25Z,1,5,6949.61,0.143210,0.021770,0.290000,0,0,2.458774,2.675627
2026-02-23T20:27:41Z,2,1,15096.35,0.131630,0.012980,0.153000,0,0,4.502790,3.913993
2026-02-23T20:28:56Z,2,2,15126.41,0.131410,0.010550,0.156000,0,0,4.269377,3.069933
2026-02-23T20:30:12Z,2,3,14817.18,0.134210,0.012210,0.162000,0,0,4.834777,3.774857
2026-02-23T20:31:27Z,2,4,14718.17,0.135170,0.019580,0.162000,0,0,4.677032,3.414758
2026-02-23T20:32:42Z,2,5,14759.53,0.134690,0.010460,0.158000,0,0,5.076206,3.041986
2026-02-23T20:33:58Z,4,1,44090.37,0.089960,0.011640,0.135000,0,0,11.332616,6.655887
2026-02-23T20:35:13Z,4,2,47937.38,0.082680,0.009960,0.122000,0,0,12.614441,7.315469
2026-02-23T20:36:29Z,4,3,42958.78,0.092350,0.009720,0.135000,0,0,10.519290,6.393672
2026-02-23T20:37:44Z,4,4,44862.44,0.088400,0.008620,0.124000,0,0,11.075608,6.772473
2026-02-23T20:38:59Z,4,5,48127.68,0.082370,0.010830,0.122000,0,0,12.519440,7.416016
2026-02-23T20:40:15Z,8,1,108107.49,0.072640,0.012040,0.113000,0,0,30.435746,15.558602
2026-02-23T20:41:30Z,8,2,108171.37,0.072620,0.012280,0.113000,0,0,30.853691,15.552306
2026-02-23T20:42:45Z,8,3,108253.11,0.072750,0.025120,0.114000,0,0,30.640385,15.660946
2026-02-23T20:44:01Z,8,4,106849.98,0.073720,0.023470,0.115000,0,0,31.564481,15.961284
2026-02-23T20:45:16Z,8,5,105362.30,0.074800,0.025580,0.116000,0,0,32.889675,16.601999
2026-02-23T20:46:31Z,16,1,170586.97,0.091900,0.020360,0.148000,0,0,46.679376,25.635786
2026-02-23T20:47:47Z,16,2,170498.43,0.092020,0.025240,0.148000,0,0,46.752843,25.769788
2026-02-23T20:49:02Z,16,3,170521.21,0.092070,0.028080,0.148000,0,0,46.635000,25.981300
2026-02-23T20:50:18Z,16,4,171016.50,0.091760,0.026510,0.147000,0,0,46.910796,25.807037
2026-02-23T20:51:33Z,16,5,170835.61,0.091740,0.019740,0.148000,0,0,46.706295,25.678070
2026-02-23T20:52:48Z,32,1,224840.98,0.139410,0.029530,0.220000,0,0,54.529944,30.347688
2026-02-23T20:54:04Z,32,2,224189.38,0.139800,0.029330,0.221000,0,0,54.461473,30.397214
2026-02-23T20:55:19Z,32,3,224267.24,0.139760,0.029610,0.221000,0,0,54.426452,30.413936
2026-02-23T20:56:34Z,32,4,223607.41,0.140050,0.029760,0.222000,0,0,54.342843,30.758088
2026-02-23T20:57:50Z,32,5,224447.85,0.139630,0.029310,0.221000,0,0,54.458436,30.463518
2026-02-23T20:59:05Z,64,1,252129.80,0.249280,0.048730,0.378000,0,0,56.668754,31.531766
2026-02-23T21:00:20Z,64,2,251987.67,0.249480,0.048660,0.379000,0,0,56.704389,31.363518
2026-02-23T21:01:36Z,64,3,251940.42,0.249600,0.049400,0.377000,0,0,56.487084,31.170130
2026-02-23T21:02:51Z,64,4,251729.24,0.249810,0.048980,0.379000,0,0,56.216600,31.004253
2026-02-23T21:04:06Z,64,5,251740.35,0.249580,0.048550,0.379000,0,0,56.871861,31.457256
2026-02-23T21:05:22Z,128,1,272736.35,0.461800,0.086980,0.715000,0,0,61.753875,32.846184
2026-02-23T21:06:37Z,128,2,273038.75,0.461220,0.087890,0.712000,0,0,61.685758,32.834156
2026-02-23T21:07:53Z,128,3,273371.05,0.460550,0.087470,0.711000,0,0,61.850427,33.174950
2026-02-23T21:09:08Z,128,4,272212.06,0.463510,0.088510,0.722000,0,0,62.302502,32.945770
2026-02-23T21:10:23Z,128,5,272304.68,0.462720,0.086330,0.719000,0,0,61.983861,32.749066
2026-02-23T21:11:39Z,256,1,280904.61,0.900000,0.111720,1.150000,0,0,65.982278,34.419823
2026-02-23T21:12:54Z,256,2,280771.82,0.900000,0.112680,1.150000,0,0,66.335612,34.958342
2026-02-23T21:14:09Z,256,3,280453.51,0.900000,0.108670,1.150000,0,0,65.841862,34.554277
2026-02-23T21:15:24Z,256,4,280241.84,0.900000,0.108310,1.150000,0,0,65.591118,34.020796
2026-02-23T21:16:39Z,256,5,280173.33,0.900000,0.111490,1.150000,0,0,65.727355,34.468122
