connections,repeats,rps_mean,p99_ms_mean,vm1_cpu_util_pct_mean,vm2_cpu_util_pct_mean
1,5,7266.996000,0.154000,2.600483,1.660074
2,5,14796.758000,0.153600,4.948815,3.057405
4,5,44283.250000,0.130400,11.027986,6.490658
8,5,107204.842000,0.113600,31.139189,16.660097
16,5,170371.926000,0.148600,47.727839,26.509355
32,5,224080.808000,0.221000,54.622874,29.955522
64,5,252213.712000,0.376800,56.479379,31.569069
128,5,273288.804000,0.708600,62.701622,33.093269
256,5,280382.862000,1.146000,66.509894,34.278255
