path,offered_rate,request_rate_mean,request_rate_std,response_time_ms_mean,response_time_ms_std
direct-nginx,5000,4999.000000,0.000000,0.300000,0.000000
direct-nginx,10000,10009.900000,0.141421,0.300000,0.000000
direct-nginx,20000,19972.066667,0.047141,0.300000,0.000000
direct-nginx,40000,39942.900000,1.202774,0.333333,0.047140
direct-nginx,80000,38204.333333,20847.374097,6.266667,0.169967
direct-nginx,120000,37130.600000,21196.926936,6.766667,0.235702
direct-nginx,160000,36279.633333,22742.971460,7.000000,0.374166
direct-nginx,200000,35379.500000,23069.292343,7.066667,0.262467
vanilla-katran,5000,4999.000000,0.000000,0.300000,0.000000
vanilla-katran,10000,10009.800000,0.141421,0.300000,0.000000
vanilla-katran,20000,19972.100000,0.081649,0.300000,0.000000
vanilla-katran,40000,39939.633333,6.247310,0.400000,0.000000
vanilla-katran,80000,39871.800000,15782.224568,6.066667,0.047140
vanilla-katran,120000,37123.233333,20894.920720,6.166667,0.249444
vanilla-katran,160000,36996.800000,20287.982527,6.000000,0.081650
vanilla-katran,200000,35612.333333,20588.017263,6.566667,0.664998
