map_name,map_id,samples_total,samples_present,samples_missing,unique_map_hashes,map_invariant,map_hash,entry_keys_union,entry_keys_present_in_all_samples,invariant_entries,sampling_mode,hash_only_samples,hash_method,final_dump_used,final_dump_hash_match,analysis_status,policy_reason
ctl_array,6,2,2,0,1,1,f4ecf94f38b17f308407704ce2b05ae6647616b05c079e7ff3e162ea13b66f3f,0,0,0,hash_only,2,raw_json_sha256,1,1,analyzed,max_entries>1
vip_map,7,2,2,0,1,1,89651d0d7563e29a79243b23665ad11dbac051a9370847f8a6c4a0af4d6db3fe,0,0,0,hash_only,2,raw_json_sha256,1,1,analyzed,max_entries>1
